name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Jørn,2903,1202,443,602,1100,5733,1138,1794,1047,92,132,16186
Lasse,3039,3145,110,291,1249,4223,1185,1698,789,6,251,15986
Ib,5016,2934,160,688,1396,3363,713,913,397,122,147,15849
Anton,2290,1636,163,428,1292,4915,1498,1443,868,482,638,15653
Axel,5102,2480,212,671,1454,2864,784,769,236,494,536,15602
Laurits,1787,3251,107,675,3007,3446,1324,860,234,506,99,15296
Robert,4168,2075,133,437,1122,3016,782,1015,398,279,1637,15062
Alexander,4424,2721,103,192,1132,3175,542,857,450,90,1122,14808
Tage,2028,2216,95,438,1003,4700,1616,1793,410,175,109,14583
Harry,2832,2187,142,462,1502,3756,1207,1412,438,299,333,14570
Vagn,2604,2425,117,476,1101,4605,892,1840,338,121,42,14561
Harald,2035,2232,234,567,1269,3433,1570,1321,544,419,657,14281
Ejner,1719,2847,192,721,2004,3383,1115,1209,391,356,67,14004
Kjeld,3395,2430,203,597,1104,3035,1075,867,664,98,68,13536
Ernst,3086,2366,160,535,1009,2676,711,1116,654,302,597,13212
Ejnar,1421,1560,173,361,1272,4362,1531,1630,406,325,139,13180
Dennis,3193,2031,98,228,1026,3023,830,1357,730,17,312,12845
Benny,4012,2136,148,595,968,2748,555,966,509,79,104,12820
Marinus,740,508,18,92,540,5061,2043,2417,314,312,94,12139
Tommy,2799,1832,162,306,1027,2996,867,1246,531,60,269,12095
Bjørn,4502,2019,77,282,883,2335,476,495,331,52,601,12053
René,2956,1963,145,394,1074,3438,620,1151,197,7,65,12010
Nikolaj,2295,1975,176,227,951,2851,850,1040,413,57,1152,11987
Anker,2282,1583,597,358,657,4044,944,820,378,176,68,11907
Karsten,2134,1631,121,327,917,3284,998,1580,552,33,167,11744
Tobias,2415,2189,78,267,882,2771,717,853,453,13,1045,11683
Palle,3059,1856,131,508,1529,2581,687,668,355,84,86,11544
Gert,3131,1764,162,321,678,3003,506,932,436,58,265,11256
Johnny,4054,1622,120,339,928,2178,514,955,299,39,170,11218
Klaus,2514,1621,106,322,998,2673,607,1009,528,49,753,11180
Casper,2480,2282,95,243,884,2832,713,1020,451,0,151,11153
Nicolai,2612,2242,83,224,957,2440,555,812,819,37,252,11033
Oliver,3072,2361,80,210,862,2359,460,763,291,20,397,10875
Sebastian,3017,2184,84,162,863,2422,397,735,328,10,577,10779
Frede,1067,2726,161,739,1327,1970,660,992,662,148,36,10488
Leo,2263,1241,124,514,871,2930,853,960,159,146,192,10253
Rene,3549,1683,71,232,734,1668,461,648,733,36,412,10227
Jeppe,1272,1345,81,132,923,3045,837,1745,602,43,116,10141
Thorvald,1155,1538,203,441,1373,2422,1077,1097,228,356,223,10113
Albert,2877,1620,142,341,1108,1514,607,420,396,318,749,10092
Julius,2613,1676,213,496,846,1600,488,581,419,324,752,10008
Gustav,2445,1626,73,225,687,2217,529,742,367,190,768,9869
Richard,2279,1445,100,255,895,2007,572,775,321,170,1046,9865
William,3355,1432,97,185,682,1706,378,486,177,144,1143,9785
David,2628,1441,33,153,473,1309,312,386,133,71,2666,9605
Benjamin,2133,1788,107,276,788,1998,409,749,335,23,764,9370
Mikael,1901,1190,98,180,707,2480,557,763,304,53,1065,9298
Dan,2945,1603,62,278,628,1882,424,731,363,30,326,9272
August,2586,1361,117,295,721,1584,458,457,710,224,495,9008
Steffen,1824,1372,133,198,872,2560,467,783,402,31,241,8883
Stig,3335,1813,90,212,614,1604,271,400,211,36,230,8816
Edvard,2037,1199,393,399,1004,1562,566,502,63,211,744,8680
Oluf,1801,2219,123,207,589,1654,711,614,242,266,166,8592
Ulrik,1976,1387,79,226,1190,1849,408,547,191,35,586,8474
Patrick,2211,1829,118,202,526,1640,377,565,352,12,626,8458
Tom,2565,1397,101,319,665,1569,479,490,411,43,283,8322
Kai,3247,1087,56,288,693,1423,417,359,224,170,153,8117
Orla,1760,1135,186,308,479,2377,848,660,214,105,32,8104
Evald,881,1623,93,552,538,1959,925,938,144,140,116,7909
Victor,2438,1470,58,155,576,1724,307,461,168,75,468,7900
Ejvind,796,1176,72,254,1039,2248,893,909,149,110,44,7690
Alex,2104,1346,56,211,748,1596,397,732,197,58,230,7675
Ivan,1921,1062,40,207,569,2047,489,711,135,59,373,7613
Willy,2721,965,65,258,601,1563,367,366,261,129,230,7526
Paul,2304,751,130,148,361,1112,153,278,729,142,1409,7517
Mark,1842,1245,42,134,410,1790,481,545,236,18,681,7424
Rune,1723,1250,53,153,712,1892,413,600,347,7,253,7403
Keld,1439,1121,108,139,872,2011,483,621,229,37,31,7091
Theodor,1275,902,131,291,712,1471,639,600,537,242,266,7066
Kristen,244,536,19,106,424,2629,1072,1538,65,192,232,7057
Ludvig,1598,1156,197,353,554,976,360,264,286,196,1045,6985
Asger,1621,1277,40,272,591,1795,381,573,250,51,64,6915
