name,count_københavn,count_sjælland,count_bornholm,count_lolland-falster,count_fyn,count_østjylland,count_nordjylland,count_vestjylland,count_sydjylland,count_andet,count_udland,count_danmark
Falkenstrøm,0,5,0,0,8,15,0,0,0,0,0,32
Thiesen,0,0,6,0,0,5,7,0,0,0,0,32
Bring,0,0,0,20,0,0,0,0,0,0,0,32
Borreskov,0,0,0,6,0,15,0,6,0,0,0,32
Paamand,0,0,0,0,19,7,0,0,0,0,0,32
Havelund,0,0,0,0,17,8,0,0,0,0,0,32
Møhlenberg,0,0,0,0,13,17,0,0,0,0,0,32
Spindler,0,0,0,0,8,10,0,0,0,0,0,32
Lymann,0,0,0,0,7,6,0,15,0,0,0,32
Aarhus,0,0,0,0,6,9,0,12,0,0,0,32
Schade,0,0,0,0,6,6,0,0,9,0,0,32
Hindhede,0,0,0,0,5,12,0,12,0,0,0,32
Balshøj,0,0,0,0,0,30,0,0,0,0,0,32
Mostrup,0,0,0,0,0,29,0,0,0,0,0,32
Weigelt,0,0,0,0,0,28,0,0,0,0,0,32
Schouborg,0,0,0,0,0,27,0,0,0,0,0,32
Leisgaard,0,0,0,0,0,27,0,0,0,0,0,32
Bøstrup,0,0,0,0,0,26,0,0,0,0,0,32
Wølk,0,0,0,0,0,24,0,0,0,0,0,32
Boritz,0,0,0,0,0,24,0,0,0,0,0,32
Klaris,0,0,0,0,0,24,0,5,0,0,0,32
Plougmand,0,0,0,0,0,23,0,0,0,0,0,32
Horndrup,0,0,0,0,0,23,0,0,0,0,0,32
Edslev,0,0,0,0,0,22,0,0,0,0,0,32
Thykær,0,0,0,0,0,22,0,5,0,0,0,32
Frank,0,0,0,0,0,21,0,0,0,0,5,32
Purup,0,0,0,0,0,19,7,0,0,0,0,32
Hvarregaard,0,0,0,0,0,11,17,0,0,0,0,32
Tolsgaard,0,0,0,0,0,11,0,11,0,0,0,32
Viig,0,0,0,0,0,11,0,9,0,0,0,32
Ejaas,0,0,0,0,0,11,12,0,0,0,0,32
Kisum,0,0,0,0,0,10,0,17,0,0,0,32
Alnor,0,0,0,0,0,10,0,0,12,0,0,32
Særkjær,0,0,0,0,0,10,0,15,0,0,0,32
Celius,0,0,0,0,0,10,5,0,0,0,0,32
Svankjær,0,0,0,0,0,10,10,6,0,0,0,32
Gehrt,0,0,0,0,0,9,0,0,16,0,0,32
Kassow,0,0,0,0,0,8,19,0,0,0,0,32
Taulbjerg,0,0,0,0,0,8,0,18,0,0,0,32
Højbjerre,0,0,0,0,0,7,11,6,0,0,0,32
Ellitsgaard,0,0,0,0,0,7,16,0,0,0,0,32
Detlefsen,0,0,0,0,0,6,0,0,21,0,0,32
